time(ms),error signal,control signal,feedback signal
886,5.68434e-14,255,255
890,5.68434e-14,255,255
894,5.68434e-14,255,255
898,5.68434e-14,255,255
902,5.68434e-14,255,255
906,5.68434e-14,255,255
910,5.68434e-14,255,255
914,5.68434e-14,255,255
918,5.68434e-14,255,255
922,5.68434e-14,255,255
926,5.68434e-14,255,255
930,5.68434e-14,255,255
934,5.68434e-14,255,255
938,5.68434e-14,255,255
942,5.68434e-14,255,255
946,5.68434e-14,255,255
950,5.68434e-14,255,255
954,5.68434e-14,255,255
958,5.68434e-14,255,255
962,5.68434e-14,255,255
966,5.68434e-14,255,255
970,5.68434e-14,255,255
974,5.68434e-14,255,255
978,5.68434e-14,255,255
982,5.68434e-14,255,255
986,5.68434e-14,255,255
990,5.68434e-14,255,255
994,5.68434e-14,255,255
998,5.68434e-14,255,255
1002,5.68434e-14,255,255
1006,5.68434e-14,255,255
1010,5.68434e-14,255,255
1014,5.68434e-14,255,255
1018,5.68434e-14,255,255
1022,5.68434e-14,255,255
1026,5.68434e-14,255,255
1030,5.68434e-14,255,255
1034,5.68434e-14,255,255
1038,5.68434e-14,255,255
1042,5.68434e-14,255,255
1046,5.68434e-14,255,255
1050,5.68434e-14,255,255
1053,5.68434e-14,255,255
1057,5.68434e-14,255,255
1062,5.68434e-14,255,255
1066,5.68434e-14,255,255
1070,5.68434e-14,255,255
1074,5.68434e-14,255,255
1078,5.68434e-14,255,255
1082,5.68434e-14,255,255
1086,5.68434e-14,255,255
1090,5.68434e-14,255,255
1094,5.68434e-14,255,255
1098,5.68434e-14,255,255
1102,5.68434e-14,255,255
1106,5.68434e-14,255,255
1110,5.68434e-14,255,255
1114,5.68434e-14,255,255
1118,5.68434e-14,255,255
1122,5.68434e-14,255,255
1126,5.68434e-14,255,255
1130,5.68434e-14,255,255
1134,5.68434e-14,255,255
1138,5.68434e-14,255,255
1142,5.68434e-14,255,255
1146,5.68434e-14,255,255
1150,5.68434e-14,255,255
1154,5.68434e-14,255,255
1158,5.68434e-14,255,255
1162,5.68434e-14,255,255
1166,5.68434e-14,255,255
1170,5.68434e-14,255,255
1174,5.68434e-14,255,255
1178,5.68434e-14,255,255
1182,5.68434e-14,255,255
1186,5.68434e-14,255,255
1190,5.68434e-14,255,255
1194,5.68434e-14,255,255
1198,5.68434e-14,255,255
1202,5.68434e-14,255,255
1206,5.68434e-14,255,255
1210,5.68434e-14,255,255
1214,5.68434e-14,255,255
1218,5.68434e-14,255,255
1222,5.68434e-14,255,255
1226,5.68434e-14,255,255
1230,5.68434e-14,255,255
1234,5.68434e-14,255,255
1238,5.68434e-14,255,255
1242,5.68434e-14,255,255
1246,5.68434e-14,255,255
1250,5.68434e-14,255,255
1254,5.68434e-14,255,255
1258,5.68434e-14,255,255
1262,5.68434e-14,255,255
1266,5.68434e-14,255,255
1270,5.68434e-14,255,255
1274,5.68434e-14,255,255
1278,5.68434e-14,255,255
1282,5.68434e-14,255,255
1286,5.68434e-14,255,255
1290,5.68434e-14,255,255
1294,5.68434e-14,255,255
1298,5.68434e-14,255,255
1302,5.68434e-14,255,255
1306,5.68434e-14,255,255
1310,5.68434e-14,255,255
1314,5.68434e-14,255,255
1318,5.68434e-14,255,255
1322,5.68434e-14,255,255
1326,5.68434e-14,255,255
1330,5.68434e-14,255,255
1334,5.68434e-14,255,255
1337,5.68434e-14,255,255
1341,5.68434e-14,255,255
1345,5.68434e-14,255,255
1349,5.68434e-14,255,255
1353,5.68434e-14,255,255
1357,5.68434e-14,255,255
1361,5.68434e-14,255,255
1365,5.68434e-14,255,255
1369,5.68434e-14,255,255
1373,5.68434e-14,255,255
1377,5.68434e-14,255,255
1381,5.68434e-14,255,255
1385,5.68434e-14,255,255
1389,5.68434e-14,255,255
1393,5.68434e-14,255,255
1397,5.68434e-14,255,255
1401,5.68434e-14,255,255
1405,5.68434e-14,255,255
1409,5.68434e-14,255,255
1413,5.68434e-14,255,255
1417,5.68434e-14,255,255
1421,5.68434e-14,255,255
1425,5.68434e-14,255,255
1429,5.68434e-14,255,255
1433,5.68434e-14,255,255
1437,5.68434e-14,255,255
1441,5.68434e-14,255,255
1445,5.68434e-14,255,255
1449,5.68434e-14,255,255
1453,5.68434e-14,255,255
1457,5.68434e-14,255,255
1461,5.68434e-14,255,255
1465,5.68434e-14,255,255
1469,5.68434e-14,255,255
1473,5.68434e-14,255,255
1477,5.68434e-14,255,255
1481,5.68434e-14,255,255
1485,5.68434e-14,255,255
1488,5.68434e-14,255,255
1492,5.68434e-14,255,255
1496,5.68434e-14,255,255
1500,5.68434e-14,255,255
1504,5.68434e-14,255,255
1508,5.68434e-14,255,255
1512,5.68434e-14,255,255
1516,5.68434e-14,255,255
1520,5.68434e-14,255,255
1524,5.68434e-14,255,255
1528,5.68434e-14,255,255
1532,5.68434e-14,255,255
1536,5.68434e-14,255,255
1540,5.68434e-14,255,255
1544,5.68434e-14,255,255
1548,5.68434e-14,255,255
1552,5.68434e-14,255,255
1556,5.68434e-14,255,255
1560,5.68434e-14,255,255
1564,5.68434e-14,255,255
1568,5.68434e-14,255,255
1572,5.68434e-14,255,255
1576,5.68434e-14,255,255
1580,5.68434e-14,255,255
1584,5.68434e-14,255,255
1588,5.68434e-14,255,255
1592,5.68434e-14,255,255
1596,5.68434e-14,255,255
1600,5.68434e-14,255,255
1604,5.68434e-14,255,255
1608,5.68434e-14,255,255
1612,5.68434e-14,255,255
1616,5.68434e-14,255,255
1619,5.68434e-14,255,255
1623,5.68434e-14,255,255
1627,5.68434e-14,255,255
1631,5.68434e-14,255,255
1635,5.68434e-14,255,255
1639,5.68434e-14,255,255
1643,5.68434e-14,255,255
1647,5.68434e-14,255,255
1651,5.68434e-14,255,255
1655,5.68434e-14,255,255
1659,5.68434e-14,255,255
1663,5.68434e-14,255,255
1667,5.68434e-14,255,255
1671,5.68434e-14,255,255
1675,5.68434e-14,255,255
1679,5.68434e-14,255,255
1683,5.68434e-14,255,255
1687,5.68434e-14,255,255
1691,5.68434e-14,255,255
1695,5.68434e-14,255,255
1699,5.68434e-14,255,255
1703,5.68434e-14,255,255
1707,5.68434e-14,255,255
1711,5.68434e-14,255,255
1715,5.68434e-14,255,255
1719,5.68434e-14,255,255
1723,5.68434e-14,255,255
1727,5.68434e-14,255,255
1731,5.68434e-14,255,255
1735,5.68434e-14,255,255
1739,5.68434e-14,255,255
1743,5.68434e-14,255,255
1747,5.68434e-14,255,255
1751,5.68434e-14,255,255
1755,5.68434e-14,255,255
1759,5.68434e-14,255,255
1763,5.68434e-14,255,255
1767,5.68434e-14,255,255
1771,5.68434e-14,255,255
1775,5.68434e-14,255,255
1779,5.68434e-14,255,255
1782,5.68434e-14,255,255
1786,5.68434e-14,255,255
1790,5.68434e-14,255,255
1794,5.68434e-14,255,255
1798,5.68434e-14,255,255
1802,5.68434e-14,255,255
1806,5.68434e-14,255,255
1810,5.68434e-14,255,255
1814,5.68434e-14,255,255
1818,5.68434e-14,255,255
1822,5.68434e-14,255,255
1826,5.68434e-14,255,255
1830,5.68434e-14,255,255
1834,5.68434e-14,255,255
1838,5.68434e-14,255,255
1842,5.68434e-14,255,255
1846,5.68434e-14,255,255
1850,5.68434e-14,255,255
1854,5.68434e-14,255,255
1858,5.68434e-14,255,255
1862,5.68434e-14,255,255
1866,5.68434e-14,255,255
1870,5.68434e-14,255,255
1874,5.68434e-14,255,255
1878,5.68434e-14,255,255
1882,5.68434e-14,255,255
1886,5.68434e-14,255,255
