time(ms),error signal,control signal,feedback signal
0,100,91,91
100,9,38.1,38.1
200,61.9,88.41,88.41
300,11.59,61.701,61.701
400,38.299,89.2161,89.2161
500,10.7839,75.9422,75.9422
601,24.0578,91.1239,91.1239
699,8.87612,84.6777,84.6777
798,15.3223,93.1421,93.1421
897,6.8579,90.1208,90.1208
996,9.87916,94.8973,94.8973
1088,5.10266,93.5622,93.5622
1169,6.43776,96.2946,96.2946
1265,3.70537,95.7668,95.7668
1365,4.23319,97.3535,97.3535
1465,2.64654,97.1954,97.1954
1559,2.80457,98.1316,98.1316
1660,1.86838,98.1304,98.1304
1760,1.86958,98.692,98.692
1860,1.30799,98.7475,98.7475
1960,1.25255,99.09,99.09
2059,0.910047,99.1575,99.1575
2151,0.842533,99.3697,99.3697
2251,0.630282,99.4315,99.4315
2351,0.568548,99.565,99.565
2450,0.435024,99.6154,99.6154
2550,0.384631,99.7005,99.7005
2639,0.299477,99.7393,99.7393
2738,0.260726,99.7942,99.7942
2838,0.205759,99.823,99.823
2938,0.177012,99.8588,99.8588
3018,0.141157,99.8797,99.8797
3118,0.120323,99.9033,99.9033
3213,0.0967262,99.9181,99.9181
3303,0.0818663,99.9338,99.9338
3399,0.0662224,99.9443,99.9443
3482,0.055742,99.9547,99.9547
3568,50.0453,145.462,145.462
3668,4.53798,119.019,119.019
3767,30.981,144.179,144.179
3867,5.82088,130.829,130.829
3957,69.1707,190.09,190.09
4051,9.9096,157.007,157.007
4129,42.9934,189.755,189.755
4227,10.2451,173.179,173.179
4326,26.8205,191.171,191.171
4426,8.82911,183.025,183.025
4518,16.9752,193.005,193.005
4618,6.99499,189.115,189.115
4718,10.8846,194.715,194.715
4819,5.28546,192.941,192.941
4911,7.05933,196.123,196.123
5011,3.87721,195.377,195.377
5111,4.62332,197.211,197.211
5210,52.7887,242.447,242.447
5304,7.55286,217.072,217.072
5401,32.9285,242.175,242.175
5501,7.82456,229.46,229.46
5602,20.5395,243.251,243.251
5702,6.74869,237.001,237.001
5802,12.9986,244.651,244.651
5903,5.34907,241.666,241.666
6002,8.33406,245.957,245.957
6102,4.04285,244.595,244.595
6201,5.40472,247.034,247.034
6300,2.96618,246.461,246.461
6395,3.53945,247.866,247.866
6495,2.13366,247.663,247.663
6596,2.33704,248.486,248.486
6696,1.5139,248.446,248.446
6795,1.55361,248.936,248.936
6890,1.0637,248.961,248.961
6978,1.03854,249.258,249.258
7076,0.742073,249.303,249.303
7176,0.69733,249.485,249.485
7273,0.514977,249.53,249.53
7373,0.469895,249.644,249.644
7473,0.355976,249.682,249.682
7542,0.317535,249.755,249.755
7639,0.245339,249.785,249.785
7740,0.215055,249.831,249.831
7839,0.168709,249.854,249.854
7932,0.145904,249.884,249.884
8032,0.115816,249.901,250.201
8130,0.0991238,249.921,249.921
8222,0.0794018,249.933,250.133
8318,0.0674145,249.946,249.946
8418,0.0543825,249.954,250.254
8517,0.0458869,249.963,250.063
8616,0.0372182,249.969,250.169
8704,0.031254,249.975,250.175
8803,0.0254563,249.979,250.179
8902,0.021298,249.983,250.083
9002,0.0174036,249.985,250.185
9102,0.0145192,249.988,250.188
9202,0.0118941,249.99,249.99
9302,0.00990091,249.992,250.292
9402,0.00812654,249.993,250.293
9502,0.0067532,249.994,250.294
9602,0.00555124,249.995,250.295
9698,0.00460704,249.996,250.196
9803,0.00379145,249.997,249.997
9903,0.00314337,249.997,250.297
10003,0.00258921,249.998,250.198
10103,0.00214494,249.998,250.198
10203,0.00176802,249.999,250.199
10304,0.00146377,249.999,250.099
10404,0.00120719,249.999,249.999
10503,0.000998979,249.999,249.999
10599,0.000824211,249.999,250.199
10678,0.000681809,249.999,250.099
10768,0.000562707,250,250.2
10864,0.000465356,250,250.1
10957,0.00038416,250,250.3
11057,0.00031763,250,252
11157,0.000262259,250,252
11257,0.000216804,250,252
11357,0.000179036,250,256
11457,0.000147986,250,254
11552,0.00012222,250,252
11652,0.000101013,250,254
11752,8.34333e-05,250,254
11851,6.89514e-05,250,252
11950,5.69551e-05,250,254
12049,4.70664e-05,250,252
12149,3.88797e-05,250,254
12249,3.21278e-05,250,254
12344,2.65406e-05,250,254
12439,2.19307e-05,250,256
12539,1.81174e-05,250,254
12638,1.49702e-05,250,254
12732,1.23675e-05,250,252
12827,1.02189e-05,250,254
12926,8.44238e-06,250,250
13026,6.97555e-06,250,254
13126,5.76298e-06,250,254
13224,-50,204.5,210.5
13324,-4.5,230.95,232.95
13424,-30.95,205.795,211.795
13523,-5.795,219.149,225.149
13622,-19.1495,205.392,205.392
13721,-5.39195,212.029,218.029
13820,-12.0289,204.438,210.438
13920,-54.4381,162.161,162.161
14019,-12.1611,184.379,186.379
14119,-34.3789,160.735,166.735
14219,-10.7346,171.701,177.701
14314,-71.7008,113.111,119.111
14406,-13.1108,144.832,146.832
14507,-44.8316,112.35,118.35
14607,-12.3497,128.134,130.134
14707,-28.1339,110.223,110.223
14799,-10.2232,117.903,123.903
14899,-17.9027,107.924,109.924
14999,-7.92418,111.534,113.534
15099,-11.534,105.908,105.908
15200,-5.90791,107.511,111.511
15293,-7.5112,104.296,108.296
15372,-4.29587,104.936,110.936
15470,-4.93631,103.071,103.071
15569,-3.07115,103.269,105.269
15669,-3.2689,102.17,102.17
15767,-2.16958,102.178,104.178
15867,-2.1783,101.52,107.52
15967,-1.51958,101.459,107.459
16067,-1.45894,101.058,103.058
16166,-1.05764,100.981,102.981
16266,-0.981126,100.733,104.733
16366,-0.732697,100.662,100.662
16465,-0.661945,100.506,100.506
16553,-0.505813,100.448,102.448
16653,-0.447748,100.348,102.348
16749,-0.348262,100.303,102.303
16849,-0.303475,100.239,104.239
16933,-0.239305,100.206,104.206
17015,-0.206016,100.164,102.164
17097,-0.164185,100.14,106.14
17193,-0.140028,100.113,104.113
17294,-0.112514,100.095,104.095
17391,-0.0952681,100.077,106.077
17491,-0.0770349,100.065,100.065
17590,-0.0648643,100.053,104.053
17690,-0.0527074,100.044,106.044
