time(ms),error signal,control signal,feedback signal
0,255,232.05,232.05
3,22.95,97.155,97.155
7,157.845,225.446,225.446
11,29.5545,157.338,157.338
15,97.6625,227.501,227.501
19,27.4989,193.653,193.653
22,61.3474,232.366,232.366
25,22.6341,215.928,215.928
29,39.0718,237.512,237.512
33,17.4876,229.808,229.808
37,25.1919,241.988,241.988
41,13.0118,238.584,238.584
45,16.4163,245.551,245.551
49,9.44869,244.205,244.205
53,10.7946,248.251,248.251
56,6.74868,247.848,247.848
60,7.15166,250.236,250.236
64,4.76437,250.233,250.233
68,4.76743,251.665,251.665
72,3.33537,251.806,251.806
76,3.194,252.679,252.679
80,2.32062,252.852,252.852
84,2.14846,253.393,253.393
87,1.60722,253.55,253.55
91,1.4498,253.891,253.891
95,1.10931,254.019,254.019
99,0.980809,254.236,254.236
103,0.763667,254.335,254.335
107,0.664852,254.475,254.475
111,0.524686,254.549,254.549
115,0.45138,254.64,254.64
118,0.359949,254.693,254.693
122,0.306823,254.753,254.753
126,0.246652,254.791,254.791
130,0.208759,254.831,254.831
134,0.168867,254.858,254.858
138,0.142142,254.884,254.884
142,0.115534,254.903,254.903
146,0.0968387,254.921,254.921
149,0.0790045,254.934,254.934
153,0.0660037,254.946,254.946
157,0.0540031,254.955,254.955
161,0.0450025,254.963,254.963
165,0.0369021,254.969,254.969
169,0.0306917,254.975,254.975
173,0.0252104,254.979,254.979
177,0.0209361,254.983,254.983
180,0.0172199,254.986,254.986
184,0.0142836,254.988,254.988
188,0.0117603,254.99,254.99
192,0.00974621,254.992,254.992
196,0.00803079,254.993,254.993
200,0.0066508,254.995,254.995
204,0.00548355,254.995,254.995
208,0.00453884,254.996,254.996
211,0.00374402,254.997,254.997
215,0.0030977,254.997,254.997
219,0.00255618,254.998,254.998
223,0.00211424,254.998,254.998
227,0.00174513,254.999,254.999
231,0.00144306,254.999,254.999
235,0.00119138,254.999,254.999
239,0.000984973,254.999,254.999
242,0.000813328,254.999,254.999
246,0.000672317,254.999,254.999
250,0.000555229,255,255
254,0.000458913,255,255
258,0.000379028,255,255
262,0.000313251,255,255
266,0.000258742,255,255
270,0.000213825,255,255
273,0.000176628,255,255
277,0.000145957,255,255
281,0.000120572,255,255
285,9.96317e-05,255,255
289,8.23066e-05,255,255
293,6.80097e-05,255,255
297,5.61849e-05,255,255
301,4.64243e-05,255,255
304,3.83534e-05,255,255
308,3.16899e-05,255,255
312,2.6181e-05,255,255
316,2.16321e-05,255,255
320,1.78718e-05,255,255
324,1.47664e-05,255,255
328,1.21997e-05,255,255
332,1.00798e-05,255,255
336,8.32782e-06,255,255
340,6.88068e-06,255,255
344,5.68476e-06,255,255
348,4.69688e-06,255,255
352,3.88055e-06,255,255
356,3.20618e-06,255,255
359,2.64895e-06,255,255
363,2.1886e-06,255,255
367,1.80823e-06,255,255
371,1.49399e-06,255,255
375,1.23434e-06,255,255
379,1.01982e-06,255,255
383,8.42584e-07,255,255
387,6.96153e-07,255,255
391,5.75166e-07,255,255
395,4.75209e-07,255,255
398,3.9262e-07,255,255
402,3.24387e-07,255,255
406,2.68011e-07,255,255
410,2.21433e-07,255,255
414,1.8295e-07,255,255
418,1.51155e-07,255,255
422,1.24885e-07,255,255
426,1.03182e-07,255,255
429,8.52494e-08,255,255
433,7.04339e-08,255,255
437,5.8193e-08,255,255
441,4.80796e-08,255,255
445,3.97238e-08,255,255
449,3.28201e-08,255,255
452,2.71163e-08,255,255
456,2.24037e-08,255,255
460,1.85101e-08,255,255
464,1.52932e-08,255,255
468,1.26354e-08,255,255
472,1.04395e-08,255,255
476,8.62519e-09,255,255
479,7.1262e-09,255,255
483,5.8877e-09,255,255
488,4.86452e-09,255,255
491,4.01906e-09,255,255
495,3.32059e-09,255,255
499,2.74352e-09,255,255
503,2.26672e-09,255,255
507,1.87279e-09,255,255
511,1.54731e-09,255,255
515,1.27841e-09,255,255
519,1.05624e-09,255,255
522,8.7266e-10,255,255
526,7.2103e-10,255,255
530,5.95691e-10,255,255
534,4.92179e-10,255,255
538,4.06658e-10,255,255
542,3.35945e-10,255,255
546,2.77595e-10,255,255
550,2.29335e-10,255,255
554,1.89488e-10,255,255
557,1.56547e-10,255,255
561,1.29347e-10,255,255
565,1.06837e-10,255,255
569,8.83063e-11,255,255
573,7.29301e-11,255,255
577,6.0254e-11,255,255
581,4.97948e-11,255,255
584,4.11546e-11,255,255
588,3.39639e-11,255,255
592,2.81091e-11,255,255
596,2.31921e-11,255,255
600,1.91562e-11,255,255
604,1.58877e-11,255,255
608,1.3074e-11,255,255
612,1.08287e-11,255,255
615,8.92442e-12,255,255
619,7.41807e-12,255,255
623,6.08225e-12,255,255
627,5.11591e-12,255,255
631,4.14957e-12,255,255
635,3.43903e-12,255,255
639,2.84217e-12,255,255
643,2.359e-12,255,255
646,1.93268e-12,255,255
650,1.62004e-12,255,255
654,1.33582e-12,255,255
658,1.08002e-12,255,255
662,9.37916e-13,255,255
667,7.38964e-13,255,255
671,6.53699e-13,255,255
675,5.11591e-13,255,255
678,4.54747e-13,255,255
682,3.41061e-13,255,255
686,3.12639e-13,255,255
690,2.27374e-13,255,255
694,1.98952e-13,255,255
698,1.7053e-13,255,255
702,1.13687e-13,255,255
706,1.13687e-13,255,255
709,8.52651e-14,255,255
713,5.68434e-14,255,255
717,5.68434e-14,255,255
721,5.68434e-14,255,255
725,5.68434e-14,255,255
729,5.68434e-14,255,255
733,5.68434e-14,255,255
737,5.68434e-14,255,255
740,5.68434e-14,255,255
744,5.68434e-14,255,255
748,5.68434e-14,255,255
752,5.68434e-14,255,255
756,5.68434e-14,255,255
760,5.68434e-14,255,255
764,5.68434e-14,255,255
768,5.68434e-14,255,255
771,5.68434e-14,255,255
775,5.68434e-14,255,255
779,5.68434e-14,255,255
783,5.68434e-14,255,255
787,5.68434e-14,255,255
791,5.68434e-14,255,255
795,5.68434e-14,255,255
799,5.68434e-14,255,255
803,5.68434e-14,255,255
806,5.68434e-14,255,255
810,5.68434e-14,255,255
815,5.68434e-14,255,255
818,5.68434e-14,255,255
822,5.68434e-14,255,255
826,5.68434e-14,255,255
830,5.68434e-14,255,255
833,5.68434e-14,255,255
837,5.68434e-14,255,255
841,5.68434e-14,255,255
845,5.68434e-14,255,255
849,5.68434e-14,255,255
853,5.68434e-14,255,255
857,5.68434e-14,255,255
861,5.68434e-14,255,255
864,5.68434e-14,255,255
864,5.68434e-14,255,255
868,5.68434e-14,255,255
872,5.68434e-14,255,255
876,5.68434e-14,255,255
879,5.68434e-14,255,255
882,5.68434e-14,255,255
885,5.68434e-14,255,255
889,5.68434e-14,255,255
893,5.68434e-14,255,255
897,5.68434e-14,255,255
901,5.68434e-14,255,255
905,5.68434e-14,255,255
909,5.68434e-14,255,255
913,5.68434e-14,255,255
917,5.68434e-14,255,255
920,5.68434e-14,255,255
924,5.68434e-14,255,255
928,5.68434e-14,255,255
932,5.68434e-14,255,255
936,5.68434e-14,255,255
939,5.68434e-14,255,255
