time(ms),error signal,control signal,feedback signal
0,255,232.05,232.05
3,22.95,97.155,97.155
7,157.845,225.446,225.446
11,29.5545,157.338,157.338
15,97.6625,227.501,227.501
19,27.4989,193.653,193.653
21,61.3474,232.366,232.366
24,22.6341,215.928,215.928
26,39.0718,237.512,237.512
30,17.4876,229.808,229.808
34,25.1919,241.988,241.988
38,13.0118,238.584,238.584
42,16.4163,245.551,245.551
45,9.44869,244.205,244.205
49,10.7946,248.251,248.251
50,6.74868,247.848,247.848
54,7.15166,250.236,250.236
57,4.76437,250.233,250.233
61,4.76743,251.665,251.665
65,3.33537,251.806,251.806
69,3.194,252.679,252.679
73,2.32062,252.852,252.852
74,2.14846,253.393,253.393
78,1.60722,253.55,253.55
82,1.4498,253.891,253.891
85,1.10931,254.019,254.019
89,0.980809,254.236,254.236
93,0.763667,254.335,254.335
97,0.664852,254.475,254.475
101,0.524686,254.549,254.549
105,0.45138,254.64,254.64
107,0.359949,254.693,254.693
110,0.306823,254.753,254.753
114,0.246652,254.791,254.791
118,0.208759,254.831,254.831
122,0.168867,254.858,254.858
126,0.142142,254.884,254.884
129,0.115534,254.903,254.903
132,0.0968387,254.921,254.921
134,0.0790045,254.934,254.934
137,0.0660037,254.946,254.946
141,0.0540031,254.955,254.955
145,0.0450025,254.963,254.963
149,0.0369021,254.969,254.969
153,0.0306917,254.975,254.975
156,0.0252104,254.979,254.979
157,0.0209361,254.983,254.983
160,0.0172199,254.986,254.986
164,0.0142836,254.988,254.988
168,0.0117603,254.99,254.99
172,0.00974621,254.992,254.992
176,0.00803079,254.993,254.993
180,0.0066508,254.995,254.995
183,0.00548355,254.995,254.995
183,0.00453884,254.996,254.996
186,0.00374402,254.997,254.997
190,0.0030977,254.997,254.997
194,0.00255618,254.998,254.998
198,0.00211424,254.998,254.998
202,0.00174513,254.999,254.999
206,0.00144306,254.999,254.999
208,0.00119138,254.999,254.999
212,0.000984973,254.999,254.999
216,0.000813328,254.999,254.999
220,0.000672317,254.999,254.999
222,0.000555229,255,255
226,0.000458913,255,255
230,0.000379028,255,255
233,0.000313251,255,255
237,0.000258742,255,255
241,0.000213825,255,255
245,0.000176628,255,255
249,0.000145957,255,255
250,0.000120572,255,255
254,9.96317e-05,255,255
258,8.23066e-05,255,255
262,6.80097e-05,255,255
266,5.61849e-05,255,255
270,4.64243e-05,255,255
274,3.83534e-05,255,255
278,3.16899e-05,255,255
282,2.6181e-05,255,255
286,2.16321e-05,255,255
290,1.78718e-05,255,255
294,1.47664e-05,255,255
298,1.21997e-05,255,255
302,1.00798e-05,255,255
306,8.32782e-06,255,255
310,6.88068e-06,255,255
314,5.68476e-06,255,255
318,4.69688e-06,255,255
322,3.88055e-06,255,255
326,3.20618e-06,255,255
330,2.64895e-06,255,255
334,2.1886e-06,255,255
338,1.80823e-06,255,255
342,1.49399e-06,255,255
346,1.23434e-06,255,255
350,1.01982e-06,255,255
354,8.42584e-07,255,255
358,6.96153e-07,255,255
362,5.75166e-07,255,255
366,4.75209e-07,255,255
370,3.9262e-07,255,255
374,3.24387e-07,255,255
378,2.68011e-07,255,255
382,2.21433e-07,255,255
386,1.8295e-07,255,255
390,1.51155e-07,255,255
394,1.24885e-07,255,255
398,1.03182e-07,255,255
402,8.52494e-08,255,255
406,7.04339e-08,255,255
410,5.8193e-08,255,255
414,4.80796e-08,255,255
418,3.97238e-08,255,255
422,3.28201e-08,255,255
426,2.71163e-08,255,255
430,2.24037e-08,255,255
434,1.85101e-08,255,255
438,1.52932e-08,255,255
442,1.26354e-08,255,255
446,1.04395e-08,255,255
450,8.62519e-09,255,255
454,7.1262e-09,255,255
458,5.8877e-09,255,255
462,4.86452e-09,255,255
466,4.01906e-09,255,255
470,3.32059e-09,255,255
474,2.74352e-09,255,255
478,2.26672e-09,255,255
482,1.87279e-09,255,255
486,1.54731e-09,255,255
490,1.27841e-09,255,255
494,1.05624e-09,255,255
498,8.7266e-10,255,255
502,7.2103e-10,255,255
506,5.95691e-10,255,255
510,4.92179e-10,255,255
514,4.06658e-10,255,255
518,3.35945e-10,255,255
522,2.77595e-10,255,255
526,2.29335e-10,255,255
530,1.89488e-10,255,255
534,1.56547e-10,255,255
538,1.29347e-10,255,255
542,1.06837e-10,255,255
546,8.83063e-11,255,255
550,7.29301e-11,255,255
554,6.0254e-11,255,255
558,4.97948e-11,255,255
562,4.11546e-11,255,255
566,3.39639e-11,255,255
570,2.81091e-11,255,255
574,2.31921e-11,255,255
578,1.91562e-11,255,255
582,1.58877e-11,255,255
586,1.3074e-11,255,255
590,1.08287e-11,255,255
594,8.92442e-12,255,255
598,7.41807e-12,255,255
602,6.08225e-12,255,255
606,5.11591e-12,255,255
610,4.14957e-12,255,255
614,3.43903e-12,255,255
618,2.84217e-12,255,255
622,2.359e-12,255,255
626,1.93268e-12,255,255
630,1.62004e-12,255,255
634,1.33582e-12,255,255
638,1.08002e-12,255,255
642,9.37916e-13,255,255
646,7.38964e-13,255,255
650,6.53699e-13,255,255
654,5.11591e-13,255,255
658,4.54747e-13,255,255
662,3.41061e-13,255,255
666,3.12639e-13,255,255
670,2.27374e-13,255,255
674,1.98952e-13,255,255
678,1.7053e-13,255,255
682,1.13687e-13,255,255
686,1.13687e-13,255,255
690,8.52651e-14,255,255
694,5.68434e-14,255,255
698,5.68434e-14,255,255
702,5.68434e-14,255,255
706,5.68434e-14,255,255
710,5.68434e-14,255,255
714,5.68434e-14,255,255
718,5.68434e-14,255,255
722,5.68434e-14,255,255
726,5.68434e-14,255,255
730,5.68434e-14,255,255
734,5.68434e-14,255,255
738,5.68434e-14,255,255
742,5.68434e-14,255,255
746,5.68434e-14,255,255
750,5.68434e-14,255,255
754,5.68434e-14,255,255
758,5.68434e-14,255,255
762,5.68434e-14,255,255
766,5.68434e-14,255,255
770,5.68434e-14,255,255
774,5.68434e-14,255,255
778,5.68434e-14,255,255
782,5.68434e-14,255,255
786,5.68434e-14,255,255
790,5.68434e-14,255,255
794,5.68434e-14,255,255
798,5.68434e-14,255,255
802,5.68434e-14,255,255
806,5.68434e-14,255,255
810,5.68434e-14,255,255
814,5.68434e-14,255,255
818,5.68434e-14,255,255
822,5.68434e-14,255,255
826,5.68434e-14,255,255
830,5.68434e-14,255,255
834,5.68434e-14,255,255
838,5.68434e-14,255,255
842,5.68434e-14,255,255
846,5.68434e-14,255,255
850,5.68434e-14,255,255
854,5.68434e-14,255,255
858,5.68434e-14,255,255
862,5.68434e-14,255,255
866,5.68434e-14,255,255
870,5.68434e-14,255,255
874,5.68434e-14,255,255
878,5.68434e-14,255,255
882,5.68434e-14,255,255
886,5.68434e-14,255,255
890,5.68434e-14,255,255
894,5.68434e-14,255,255
898,5.68434e-14,255,255
902,5.68434e-14,255,255
906,5.68434e-14,255,255
910,5.68434e-14,255,255
914,5.68434e-14,255,255
918,5.68434e-14,255,255
922,5.68434e-14,255,255
926,5.68434e-14,255,255
930,5.68434e-14,255,255
934,5.68434e-14,255,255
