time(ms),error signal,control signal,feedback signal
0,125,113.75,113.75
9,11.25,47.625,47.625
19,77.375,110.513,110.513
29,14.4875,77.1262,77.1262
39,47.8738,111.52,111.52
49,13.4799,94.9278,94.9278
59,30.0722,113.905,113.905
69,11.0951,105.847,105.847
80,19.1529,116.428,116.428
90,8.57237,112.651,112.651
100,12.349,118.622,118.622
110,6.37832,116.953,116.953
120,8.0472,120.368,120.368
130,4.63171,119.709,119.709
140,5.29149,121.692,121.692
150,3.30818,121.494,121.494
160,3.50571,122.665,122.665
170,2.33548,122.663,122.663
180,2.33698,123.365,123.365
190,1.63498,123.434,123.434
200,1.56568,123.862,123.862
210,1.13756,123.947,123.947
220,1.05317,124.212,124.212
230,0.787852,124.289,124.289
240,0.710685,124.456,124.456
250,0.54378,124.519,124.519
260,0.480789,124.626,124.626
270,0.374347,124.674,124.674
280,0.325908,124.743,124.743
290,0.257199,124.779,124.779
300,0.221265,124.824,124.824
310,0.176446,124.85,124.85
320,0.150403,124.879,124.879
330,0.120908,124.898,124.898
340,0.102333,124.917,124.917
350,0.082778,124.93,124.93
360,0.0696775,124.943,124.943
370,0.0566345,124.953,124.953
380,0.0474699,124.961,124.961
390,0.0387277,124.968,124.968
400,0.0323547,124.974,124.974
410,0.0264721,124.978,124.978
420,0.0220601,124.982,124.982
430,0.0180893,124.985,124.985
440,0.015045,124.988,124.988
450,0.0123581,124.99,124.99
460,0.0102628,124.992,124.992
470,0.00844111,124.993,124.993
480,0.00700178,124.994,124.994
490,0.00576484,124.995,124.995
500,0.00477755,124.996,124.996
510,0.00393666,124.997,124.997
520,0.0032602,124.997,124.997
530,0.00268802,124.998,124.998
540,0.00222492,124.998,124.998
550,0.0018353,124.998,124.998
560,0.00151848,124.999,124.999
570,0.00125303,124.999,124.999
580,0.00103639,124.999,124.999
590,0.000855457,124.999,124.999
600,0.000707381,124.999,124.999
610,0.000584012,125,125
620,0.00048283,125,125
630,0.00039869,125,125
640,0.000329567,125,125
650,0.000272171,125,125
660,0.000224957,125,125
670,0.000185798,125,125
680,0.000153554,125,125
690,0.000126834,125,125
700,0.000104816,125,125
710,8.65822e-05,125,125
720,7.15478e-05,125,125
730,5.91041e-05,125,125
740,4.88391e-05,125,125
750,4.03464e-05,125,125
760,3.33381e-05,125,125
770,2.75416e-05,125,125
780,2.2757e-05,125,125
790,1.88007e-05,125,125
800,1.55343e-05,125,125
810,1.28338e-05,125,125
820,1.0604e-05,125,125
830,8.7607e-06,125,125
840,7.23844e-06,125,125
850,5.98026e-06,125,125
860,4.94109e-06,125,125
870,4.08227e-06,125,125
880,3.37288e-06,125,125
890,2.78665e-06,125,125
900,2.30239e-06,125,125
910,1.90223e-06,125,125
920,1.57166e-06,125,125
930,1.2985e-06,125,125
940,1.07285e-06,125,125
950,8.86386e-07,125,125
960,7.32346e-07,125,125
970,6.05066e-07,125,125
980,4.99914e-07,125,125
990,4.13031e-07,125,125
1000,3.41252e-07,125,125
1010,2.81944e-07,125,125
1020,2.32945e-07,125,125
1031,1.92461e-07,125,125
1041,1.59013e-07,125,125
1051,1.31378e-07,125,125
1061,1.08546e-07,125,125
1071,8.96813e-08,125,125
1081,7.40956e-08,125,125
1091,6.12183e-08,125,125
1101,5.05792e-08,125,125
1111,4.17889e-08,125,125
1121,3.45264e-08,125,125
1131,2.8526e-08,125,125
1141,2.35684e-08,125,125
1151,1.94724e-08,125,125
1161,1.60883e-08,125,125
1171,1.32923e-08,125,125
1181,1.09822e-08,125,125
1191,9.0736e-09,125,125
1201,7.49668e-09,125,125
1211,6.19383e-09,125,125
1221,5.1174e-09,125,125
1231,4.22803e-09,125,125
1241,3.49324e-09,125,125
1251,2.88615e-09,125,125
1261,2.38455e-09,125,125
1271,1.97014e-09,125,125
1281,1.62774e-09,125,125
1291,1.34487e-09,125,125
1301,1.11113e-09,125,125
1311,9.1805e-10,125,125
1321,7.5849e-10,125,125
1331,6.2667e-10,125,125
1341,5.17758e-10,125,125
1351,4.27804e-10,125,125
1361,3.53424e-10,125,125
1371,2.92019e-10,125,125
1381,2.41258e-10,125,125
1391,1.9935e-10,125,125
1401,1.64675e-10,125,125
1410,1.36083e-10,125,125
1420,1.12408e-10,125,125
1425,9.29106e-11,125,125
1434,7.67386e-11,125,125
1442,6.3423e-11,125,125
1449,5.23812e-11,125,125
1459,4.32721e-11,125,125
1466,3.57687e-11,125,125
1476,2.95444e-11,125,125
1484,2.44142e-11,125,125
1494,2.0151e-11,125,125
1504,1.66693e-11,125,125
1514,1.37703e-11,125,125
1524,1.13829e-11,125,125
1534,9.39337e-12,125,125
1544,7.77334e-12,125,125
1554,6.42331e-12,125,125
1564,5.30065e-12,125,125
1574,4.39115e-12,125,125
1584,3.62377e-12,125,125
1594,2.99849e-12,125,125
1604,2.45848e-12,125,125
1614,2.04636e-12,125,125
1624,1.69109e-12,125,125
1634,1.39266e-12,125,125
1644,1.15108e-12,125,125
1654,9.52127e-13,125,125
1665,7.95808e-13,125,125
1675,6.39488e-13,125,125
1685,5.54223e-13,125,125
1695,4.40536e-13,125,125
1705,3.55271e-13,125,125
1715,3.12639e-13,125,125
1725,2.41585e-13,125,125
1732,2.13163e-13,125,125
1740,1.56319e-13,125,125
1750,1.42109e-13,125,125
1760,9.9476e-14,125,125
1770,9.9476e-14,125,125
1780,5.68434e-14,125,125
1790,7.10543e-14,125,125
1800,4.26326e-14,125,125
1810,4.26326e-14,125,125
1820,2.84217e-14,125,125
1830,4.26326e-14,125,125
1840,0,125,125
1850,2.84217e-14,125,125
1860,0,125,125
1870,1.42109e-14,125,125
1880,0,125,125
1890,1.42109e-14,125,125
1900,0,125,125
1910,1.42109e-14,125,125
1920,0,125,125
1930,1.42109e-14,125,125
1938,50,170.5,170.5
1946,4.5,144.05,144.05
1955,30.95,169.205,169.205
1965,5.795,155.85,155.85
1975,19.1495,169.608,169.608
1985,5.39195,162.971,162.971
1995,12.0289,170.562,170.562
2005,4.43806,167.339,167.339
2015,7.66114,171.571,171.571
2025,3.42895,170.06,170.06
2035,4.93958,172.449,172.449
2045,2.55133,171.781,171.781
2055,3.21888,173.147,173.147
2065,1.85268,172.883,172.883
2075,2.1166,173.677,173.677
2085,1.32327,173.598,173.598
2095,1.40229,174.066,174.066
2105,0.934191,174.065,174.065
2115,0.93479,174.346,174.346
2125,0.653994,174.374,174.374
2135,0.626274,174.545,174.545
2145,0.455024,174.579,174.579
2155,0.421266,174.685,174.685
2165,0.315141,174.716,174.716
2175,0.284274,174.782,174.782
2185,0.217512,174.808,174.808
2195,0.192316,174.85,174.85
2205,0.149739,174.87,174.87
2215,0.130363,174.897,174.897
2225,0.10288,174.911,174.911
2235,0.0885059,174.929,174.929
2245,0.0705783,174.94,174.94
2255,0.0601614,174.952,174.952
2262,0.0483631,174.959,174.959
2272,0.0409331,174.967,174.967
2283,0.0331112,174.972,174.972
2293,0.027871,174.977,174.977
2303,0.0226538,174.981,174.981
2313,0.018988,174.985,174.985
2323,0.0154911,174.987,174.987
2330,0.0129419,174.989,174.989
2340,0.0105888,174.991,174.991
2350,0.00882402,174.993,174.993
2360,0.00723571,174.994,174.994
2370,0.00601798,174.995,174.995
2380,0.00494322,174.996,174.996
2388,0.00410511,174.997,174.997
2398,0.00337644,174.997,174.997
2408,0.00280071,174.998,174.998
2418,0.00230594,174.998,174.998
2426,0.00191102,174.998,174.998
2436,50.0016,220.499,220.499
2446,4.5013,194.049,194.049
2456,30.9511,219.204,219.204
2466,5.79589,205.85,205.85
2476,19.1502,219.607,219.607
2486,5.39256,212.971,212.971
2496,12.0294,220.562,220.562
2506,4.43847,217.339,217.339
2516,7.66149,221.571,221.571
2526,3.42923,220.06,220.06
2536,4.93981,222.448,222.448
2546,2.55152,221.781,221.781
2556,3.21904,223.147,223.147
